StatBezirkNr;Statistischer Bezirk;Wahlberechtigte männlich;Wahlberechtigte weiblich;abgegebene Stimmen;ungültige Stimmen;gültige Stimmen;Griss;Hofer;Hundstorfer;Khol;Lugner;Van der Bellen
1;Innere Stadt;7596;8411;8158;0,0123;0,9877;0,1951;0,1893;0,0733;0,0892;0,0150;0,4258
2;Urfahr;7775;9654;9410;0,0129;0,9871;0,1757;0,2698;0,1219;0,0672;0,0175;0,3351
3;Pöstlingberg;1655;1849;2139;0,0117;0,9883;0,2356;0,2165;0,0916;0,0888;0,0145;0,3413
4;St. Magdalena;4352;5025;5832;0,0142;0,9858;0,2233;0,2387;0,1168;0,0777;0,0130;0,3164
5;Dornach-Auhof;2624;2988;3346;0,0188;0,9812;0,2029;0,2528;0,1118;0,0789;0,0200;0,3147
6;Kaplanhof;3120;3505;3218;0,0143;0,9857;0,1697;0,2906;0,1417;0,0603;0,0249;0,2986
7;Franckviertel;2111;2011;1788;0,0190;0,9810;0,1001;0,4105;0,1941;0,0615;0,0330;0,1818
8;Bulgariplatz;4126;4422;4021;0,0137;0,9863;0,1500;0,2967;0,1335;0,0714;0,0266;0,3081
9;Froschberg;3986;4691;4908;0,0106;0,9894;0,2249;0,2062;0,1157;0,1068;0,0161;0,3197
10;Bindermichl-Keferfeld;6710;7747;7894;0,0158;0,9841;0,1586;0,3471;0,1656;0,0631;0,0219;0,2279
11;Spallerhof;3643;4146;4008;0,0172;0,9828;0,1607;0,3194;0,1809;0,0646;0,0247;0,2325
12;Neue Heimat;3995;4194;3906;0,0184;0,9816;0,1293;0,4171;0,1784;0,0556;0,0292;0,1720
13;Kleinmünchen-Auwiesen;6635;7309;6732;0,0168;0,9832;0,1233;0,4020;0,1909;0,0486;0,0255;0,1930
14;Industriegebiet-Hafen;-;-;-;-;-;-;-;-;-;-;-
15;Ebelsberg;3315;3662;3561;0,0174;0,9826;0,1466;0,3934;0,1559;0,0475;0,0211;0,2182
16;Pichling;2751;2966;3462;0,0217;0,9783;0,1649;0,3556;0,1311;0,0448;0,0194;0,2626
